Time,SN,Operator,SITE,Config,VF,I(am),VF,I(am),VF,I(am),VF,I(am),VF,I(am),VF,I(am),VF,I(am),VF,I(am),VF,I(am),VF,I(am),VF,I(am),VF,I(am),LED_Channel,LED_DV,NTC,NTC,State
2024-8-3 11:10,',,1,,0,0,0,0,0, 0,0,0,0, 0,0, 0,0,0,0, 0,0, 0,0,0,0,0,0,0,0,0,,,正常
2024-8-3 11:14,',,1,,0,0,0,0,0, 0,0,0,0, 0,0, 0,0,0,0, 0,0, 0,0,0,0,0,0,0,0,0,,,正常
2024-8-3 13:24,',,1,,0,0,0,0,0, 0,0,0,0, 0,0, 0,0,0,0, 0,0, 0,0,0,0,0,0,0,0,0,21000L,18000L,正常
2024-8-3 13:24,'1,x1111111,1,,0.00,0.0,0.00,0.0,0.00, 0.0,0.00,0.0,0.00, 0.0,0.00, 0.0,0.00,0.0,0.00, 0.0,0.00, 0.0,0.00,0.0,-15.31,1.0,-22.46,2.0,0,0.00,21000L,18000L,未检测到背光异常
2024-8-3 13:25,'1,x1111111,1,,0.00,0.0,0.00,0.0,0.00, 0.0,0.00,0.0,0.00, 0.0,0.00, 0.0,0.00,0.0,0.00, 0.0,0.00, 0.0,0.00,0.0,-15.26,1.0,-22.39,2.0,0,0.00,21000L,18000L,未检测到背光异常
2024-8-3 13:25,'1,x1111111,1,,0.00,0.0,0.00,0.0,0.00, 0.0,0.00,0.0,0.00, 0.0,0.00, 0.0,0.00,0.0,0.00, 0.0,0.00, 0.0,0.00,0.0,-15.29,1.0,-22.43,2.0,0,0.00,21000L,18000L,未检测到背光异常
2024-8-3 13:28,',,1,,0,0,0,0,0, 0,0,0,0, 0,0, 0,0,0,0, 0,0, 0,0,0,0,0,0,0,0,0,21000L,18000L,正常
2024-8-3 17:21,'1,x1111111,1,,0,0,0,0,0, 0,0,0,0, 0,0, 0,0,0,0, 0,0, 0,0,0,0,0,0,0,0,0,,,正常
2024-8-3 17:25,'1,x1111111,1,,0,0,0,0,0, 0,0,0,0, 0,0, 0,0,0,0, 0,0, 0,0,0,0,0,0,0,0,0,10.077188355817,,正常
