Time,SN,Operator,SITE,Config,VF,I(am),VF,I(am),VF,I(am),VF,I(am),VF,I(am),VF,I(am),VF,I(am),VF,I(am),VF,I(am),VF,I(am),VF,I(am),VF,I(am),LED_Channel,LED_DV,NTC,NTC,State
2024-8-5 8:36,'1,x1111111,1,,0,0,0,0,0, 0,0,0,0, 0,0, 0,0,0,0, 0,0, 0,0,0,0,0,0,0,0,0,9.93,12.49,正常
2024-8-5 8:37,'1,x1111111,1,,0.00,0.0,0.00,0.0,0.00, 0.0,0.00,0.0,0.00, 0.0,0.00, 0.0,0.00,0.0,0.00, 0.0,0.00, 0.0,0.00,0.0,-15.34,1.0,-22.49,2.0,0,0.00,21000L,19000L,未检测到背光异常
2024-8-5 8:55,'1,x1111111,1,,0,0,0,0,0, 0,0,0,0, 0,0, 0,0,0,0, 0,0, 0,0,0,0,0,0,0,0,0,8.07°,12.86°,正常
