Time,SN,Config,VF,I(am),VF,I(am),VF,I(am),VF,I(am),VF,I(am),VF,I(am),VF,I(am),VF,I(am),VF,I(am),VF,I(am),VF,I(am),VF,I(am),LED_Channel,LED_DV,NTC,NTC,State
2024-8-14 15:18,'1,,28.00,70.0,27.98,70.1,28.00, 70.0,28.00,70.0,28.01, 70.0,27.98, 70.1,0.00,0.0,0.00, 0.0,0.00, 0.0,0.00,0.0,0.00,0.0,0.00,0.0,6,0.02,21,21,正常
2024-8-14 16:53,1,C3234.ini,28.02,70.0,28.00,70.1,28.02, 70.0,28.02,70.0,28.03, 70.0,28.00, 70.1,0.00,0.0,0.00, 0.0,0.00, 0.0,0.00,0.0,0.00,0.0,0.00,0.0,6,0.04,21,21,正常
