时间,SN,工作模式,模式序号,执行顺序进度,最终扭矩,最终角度,监控角度,执行时间,拧紧结果状态,NG结果
2024-06-14 13:36:26,1,job模式,job[9]/Pset[8],[2/6],0.0066,132.2,132.3,0.376,拧紧不合格,系统急停
2024-06-14 13:36:29,1,job模式,job[9]/Pset[8],[2/6],0.0058,121.5,121.5,0.200,拧紧不合格,系统急停
2024-06-14 13:36:31,1,job模式,job[9]/Pset[8],[2/6],0.0066,121.2,121.2,0.175,拧紧不合格,系统急停
2024-06-14 13:36:33,1,job模式,job[9]/Pset[8],[2/6],0.0055,121.3,121.3,0.150,拧紧不合格,系统急停
2024-06-14 13:36:34,1,job模式,job[9]/Pset[8],[2/6],0.0042,80.0,79.9,0.111,拧紧不合格,系统急停
2024-06-14 13:36:34,1,job模式,job[9]/Pset[8],[2/6],0.0039,50.4,50.4,0.089,拧紧不合格,系统急停
2024-06-14 13:36:35,1,job模式,job[9]/Pset[8],[2/6],0.0036,80.3,80.2,0.111,拧紧不合格,系统急停
2024-06-14 13:36:35,1,job模式,job[9]/Pset[8],[2/6],0.0057,121.3,121.4,0.150,拧紧不合格,系统急停
2024-06-14 13:36:35,1,job模式,job[9]/Pset[8],[2/6],0.0047,103.8,103.7,0.127,拧紧不合格,系统急停
2024-06-14 13:36:36,1,job模式,job[9]/Pset[8],[2/6],0.0042,79.8,79.9,0.111,拧紧不合格,系统急停
2024-06-14 13:36:36,1,job模式,job[9]/Pset[8],[2/6],0.0043,79.2,79.1,0.110,拧紧不合格,系统急停
2024-06-14 13:36:36,1,job模式,job[9]/Pset[8],[2/6],0.0036,79.8,79.8,0.111,拧紧不合格,系统急停
2024-06-14 13:36:36,1,job模式,job[9]/Pset[8],[2/6],0.0040,104.3,104.3,0.127,拧紧不合格,系统急停
2024-06-14 13:36:37,1,job模式,job[9]/Pset[8],[2/6],0.0041,104.1,104.0,0.127,拧紧不合格,系统急停
2024-06-14 13:36:37,1,job模式,job[9]/Pset[8],[2/6],0.0040,103.9,103.9,0.127,拧紧不合格,系统急停
2024-06-14 13:36:37,1,job模式,job[9]/Pset[8],[2/6],0.0044,80.1,80.1,0.111,拧紧不合格,系统急停
2024-06-14 13:36:38,1,job模式,job[9]/Pset[8],[2/6],0.0051,103.8,103.8,0.127,拧紧不合格,系统急停
2024-06-14 13:36:38,1,job模式,job[9]/Pset[8],[2/6],0.0041,80.1,79.9,0.111,拧紧不合格,系统急停
2024-06-14 13:36:39,1,job模式,job[9]/Pset[8],[2/6],0.0059,121.3,121.2,0.175,拧紧不合格,系统急停
2024-06-14 13:36:39,1,job模式,job[9]/Pset[8],[2/6],0.0039,79.6,79.6,0.111,拧紧不合格,系统急停
2024-06-14 13:36:40,1,job模式,job[9]/Pset[8],[2/6],0.0059,121.6,121.7,0.175,拧紧不合格,系统急停
2024-06-14 13:36:40,1,job模式,job[9]/Pset[8],[2/6],0.0062,121.1,121.0,0.175,拧紧不合格,系统急停
2024-06-14 13:36:41,1,job模式,job[9]/Pset[8],[2/6],0.0065,130.6,130.7,0.350,拧紧不合格,系统急停
2024-06-14 13:36:42,1,job模式,job[9]/Pset[8],[2/6],0.0059,212.6,212.6,1.025,拧紧不合格,系统急停
2024-06-14 13:36:45,1,job模式,job[9]/Pset[8],[2/6],0.0199,193.2,193.8,1.642,拧紧合格,拧紧合格
2024-06-14 13:36:48,1,job模式,job[9]/Pset[8],[3/6],0.0209,128.7,129.1,1.097,拧紧合格,拧紧合格
2024-06-14 13:36:50,1,job模式,job[9]/Pset[8],[4/6],0.0201,124.7,125.3,1.033,拧紧合格,拧紧合格
2024-06-14 13:36:51,1,job模式,job[9]/Pset[8],[5/6],0.0205,116.8,117.6,0.964,拧紧合格,拧紧合格
2024-06-14 13:36:54,1,job模式,job[9]/Pset[8],[6/6],0.0206,150.8,151.5,1.264,拧紧合格,拧紧合格
