时间,SN,工作模式,模式序号,执行顺序进度,最终扭矩,最终角度,监控角度,执行时间,拧紧结果状态,NG结果
2024-05--23 03:46-40,354,job模式,job[2]/Pset[4],1/3,0.0045,119.2,119.2,0.525,拧紧不合格,系统急停
2024-05--23 03:46-43,354,job模式,job[2]/Pset[4],1/3,0.0040,84.0,84.0,0.175,拧紧不合格,系统急停
2024-05--23 03:46-43,354,job模式,job[2]/Pset[4],1/3,0.0204,96.1,98.2,1.092,拧紧合格,拧紧合格
2024-05--23 03:47-00,354,job模式,job[2]/Pset[4],2/3,0.0211,114.6,115.0,1.258,拧紧合格,拧紧合格
2024-05--23 03:47-06,354,job模式,job[2]/Pset[4],3/3,0.0059,111.9,112.0,0.475,拧紧不合格,系统急停
2024-05--23 03:47-08,354,job模式,job[2]/Pset[4],3/3,0.0217,117.0,117.6,1.242,拧紧合格,拧紧合格
2024-05--23 03:48-17,354432534,job模式,job[2]/Pset[4],1/3,0.0039,491.1,491.1,3.620,拧紧不合格,系统急停
2024-05--23 03:48-41,52345234,job模式,job[2]/Pset[4],1/3,0.0061,420.8,420.8,3.015,拧紧不合格,系统急停
2024-05--23 03:49-10,,job模式,job[2]/Pset[4],1/3,0.0047,1042.9,1042.8,8.220,拧紧不合格,系统急停
2024-05--23 03:49-14,,job模式,job[2]/Pset[4],1/3,0.0045,334.2,334.2,2.305,拧紧不合格,系统急停
2024-05--23 03:49-21,,job模式,job[2]/Pset[4],1/3,0.0055,641.1,641.2,4.866,拧紧不合格,系统急停
2024-05--23 03:49-22,,job模式,job[2]/Pset[4],1/3,0.0055,641.1,641.2,4.866,拧紧不合格,系统急停
2024-05--23 03:49-31,,job模式,job[2]/Pset[4],1/3,0.0079,575.1,575.0,4.660,拧紧不合格,系统急停
2024-05--23 03:49-32,,job模式,job[2]/Pset[4],1/3,0.0052,96.2,96.2,0.320,拧紧不合格,系统急停
2024-05--23 03:49-32,,job模式,job[2]/Pset[4],1/3,0.0079,575.1,575.0,4.660,拧紧不合格,系统急停
2024-05--23 03:49-32,,job模式,job[2]/Pset[4],1/3,0.0052,96.2,96.2,0.320,拧紧不合格,系统急停
2024-05--23 03:51-17,,job模式,job[2]/Pset[4],1/3,0.0073,605.9,606.0,4.575,拧紧不合格,系统急停
2024-05--23 03:55-23,454475788,job模式,job[2]/Pset[4],3/3,0.0042,190.6,190.6,1.100,拧紧不合格,系统急停
2024-05--23 03:56-26,787,job模式,job[2]/Pset[4],3/3,0.0063,339.9,340.0,2.355,拧紧不合格,系统急停
2024-05--23 04:03-19,4,job模式,job[2]/Pset[4],3/3,0.0204,624.0,625.0,5.451,拧紧合格,拧紧合格
2024-05--23 04:03-28,4,job模式,job[2]/Pset[4],1/3,0.0200,222.9,225.2,2.138,拧紧合格,拧紧合格
2024-05--23 04:03-31,4,job模式,job[2]/Pset[4],2/3,0.0199,146.6,147.4,1.494,拧紧合格,拧紧合格
2024-05--23 04:03-35,4,job模式,job[2]/Pset[4],3/3,0.0207,230.7,232.2,2.271,拧紧合格,拧紧合格
2024-05--23 04:53-34,243547578,job模式,job[2]/Pset[4],1/3,0.0058,958.9,958.9,7.530,拧紧不合格,系统急停
2024-05--23 04:54-02,4348870980,job模式,job[2]/Pset[4],1/3,0.0044,602.1,602.0,4.540,拧紧不合格,系统急停
2024-05--23 04:54-21,797475478587,job模式,job[2]/Pset[4],1/3,0.0056,892.0,892.0,6.950,拧紧不合格,系统急停
2024-05--23 04:54-36,797475478587,job模式,job[2]/Pset[4],1/3,0.0062,1662.9,1662.9,13.425,拧紧不合格,系统急停
2024-05--23 04:54-42,797475478587,job模式,job[2]/Pset[4],1/3,0.0055,534.8,534.8,4.000,拧紧不合格,系统急停
2024-05--23 04:59-12,454358757575453,job模式,job[2]/Pset[4],1/3,0.0204,547.9,548.6,4.908,拧紧合格,拧紧合格
