时间,SN,工作模式,模式序号,执行顺序进度,最终扭矩,最终角度,监控角度,执行时间,拧紧结果状态,NG结果
2024-06-08 09:27:17,321312,job模式,job[9]/Pset[8],[1/6],0.0057,207.5,207.4,1.005,拧紧不合格,系统急停
2024-06-08 09:27:18,321312,job模式,job[9]/Pset[8],[1/6],0.0055,199.7,199.7,0.930,拧紧不合格,系统急停
2024-06-08 09:27:19,321312,job模式,job[9]/Pset[8],[1/6],0.0057,202.0,201.9,0.955,拧紧不合格,系统急停
2024-06-08 09:27:20,321312,job模式,job[9]/Pset[8],[1/6],0.0064,198.1,198.1,0.960,拧紧不合格,系统急停
2024-06-08 09:27:21,321312,job模式,job[9]/Pset[8],[1/6],0.0058,199.2,199.3,0.905,拧紧不合格,系统急停
2024-06-08 09:43:51,2,job模式,job[2]/Pset[4],[1/3],0.0062,151.6,151.6,0.780,拧紧不合格,系统急停
2024-06-08 09:43:54,2,job模式,job[2]/Pset[4],[1/3],0.0051,200.3,200.3,1.200,拧紧不合格,系统急停
2024-06-08 09:43:58,2,job模式,job[2]/Pset[4],[1/3],0.0201,99.8,100.7,1.127,拧紧合格,拧紧合格
2024-06-08 09:44:00,2,job模式,job[2]/Pset[4],[2/3],0.0203,93.1,93.9,1.074,拧紧合格,拧紧合格
2024-06-08 09:44:01,2,job模式,job[2]/Pset[4],[3/3],0.0046,85.0,85.0,0.180,拧紧不合格,系统急停
2024-06-08 09:44:03,2,job模式,job[2]/Pset[4],[3/3],0.0055,84.9,85.0,0.150,拧紧不合格,系统急停
2024-06-08 09:44:15,2,job模式,job[2]/Pset[4],[3/3],0.0039,78.3,78.3,0.132,拧紧不合格,系统急停
2024-06-08 09:46:15,3,job模式,job[9]/Pset[8],[1/6],0.0201,300.7,301.8,2.575,拧紧合格,拧紧合格
2024-06-08 09:46:17,3,job模式,job[9]/Pset[8],[2/6],0.0200,135.7,136.3,1.180,拧紧合格,拧紧合格
2024-06-08 09:46:17,3,job模式,job[9]/Pset[8],[3/6],0.0054,119.4,119.5,0.140,拧紧不合格,系统急停
2024-06-08 09:47:41,3,job模式,job[9]/Pset[8],[5/6],0.0202,174.9,176.2,1.483,拧紧合格,拧紧合格
2024-06-08 09:47:47,3,job模式,job[9]/Pset[8],[6/6],0.0047,115.3,115.3,0.135,拧紧不合格,系统急停
2024-06-08 09:47:51,3,job模式,job[9]/Pset[8],[1/6],0.0057,127.7,127.7,0.325,拧紧不合格,系统急停
2024-06-08 09:47:52,3,job模式,job[9]/Pset[8],[1/6],0.0037,101.6,101.7,0.125,拧紧不合格,系统急停
2024-06-08 10:03:19,2,job模式,job[9]/Pset[8],[1/6],0.0034,72.4,72.4,0.106,拧紧不合格,系统急停
2024-06-08 10:03:22,2,job模式,job[9]/Pset[8],[1/6],0.0058,169.1,169.1,0.675,拧紧不合格,系统急停
2024-06-08 10:03:50,2,job模式,job[9]/Pset[8],[1/6],0.0051,120.6,120.5,0.230,拧紧不合格,系统急停
2024-06-08 10:04:55,3,job模式,job[9]/Pset[8],[1/6],0.0055,120.4,120.5,0.175,拧紧不合格,系统急停
2024-06-08 10:05:23,3,job模式,job[9]/Pset[8],[1/6],0.0204,239.3,239.9,2.071,拧紧合格,拧紧合格
2024-06-08 10:05:28,3,job模式,job[9]/Pset[8],[2/6],0.0199,301.2,301.8,2.530,拧紧合格,拧紧合格
2024-06-08 10:05:35,3,job模式,job[9]/Pset[8],[3/6],0.0038,78.9,79.0,0.111,拧紧不合格,系统急停
