时间,SN,工作模式,模式序号,执行顺序进度,最终扭矩,最终角度,监控角度,执行时间,拧紧结果状态,NG结果
2024-06-08 09:26:01,321312,job模式,job[9]/Pset[8],[5/6],0.0060,226.6,226.7,1.150,拧紧不合格,系统急停
2024-06-08 09:26:03,321312,job模式,job[9]/Pset[8],[5/6],0.0058,235.9,235.8,1.225,拧紧不合格,系统急停
2024-06-08 09:26:06,321312,job模式,job[9]/Pset[8],[5/6],0.0065,332.3,332.3,2.034,拧紧不合格,系统急停
2024-06-08 09:26:08,321312,job模式,job[9]/Pset[8],[5/6],0.0042,355.2,355.2,2.222,拧紧不合格,系统急停
2024-06-08 09:26:10,321312,job模式,job[9]/Pset[8],[5/6],0.0073,186.3,186.3,0.826,拧紧不合格,系统急停
2024-06-08 09:26:11,321312,job模式,job[9]/Pset[8],[5/6],0.0069,181.3,181.3,0.775,拧紧不合格,系统急停
2024-06-08 09:26:11,321312,job模式,job[9]/Pset[8],[5/6],0.0042,153.1,153.1,0.550,拧紧不合格,系统急停
2024-06-08 09:26:12,321312,job模式,job[9]/Pset[8],[5/6],0.0057,167.4,167.4,0.659,拧紧不合格,系统急停
2024-06-08 09:26:15,321312,job模式,job[9]/Pset[8],[5/6],0.0205,255.2,255.7,2.170,拧紧合格,拧紧合格
2024-06-08 09:26:18,321312,job模式,job[9]/Pset[8],[6/6],0.0206,166.2,167.2,1.378,拧紧合格,拧紧合格
2024-06-08 09:26:47,321312,job模式,job[9]/Pset[8],[1/6],0.0082,168.3,168.2,0.680,拧紧不合格,系统急停
2024-06-08 09:26:48,321312,job模式,job[9]/Pset[8],[1/6],0.0054,124.5,124.5,0.280,拧紧不合格,系统急停
2024-06-08 09:26:48,321312,job模式,job[9]/Pset[8],[1/6],0.0065,119.8,119.8,0.180,拧紧不合格,系统急停
2024-06-08 09:26:50,321312,job模式,job[9]/Pset[8],[1/6],0.0051,148.5,148.5,0.510,拧紧不合格,系统急停
2024-06-08 09:26:50,321312,job模式,job[9]/Pset[8],[1/6],0.0045,148.0,148.0,0.605,拧紧不合格,系统急停
2024-06-08 09:26:51,321312,job模式,job[9]/Pset[8],[1/6],0.0034,159.9,159.8,0.665,拧紧不合格,系统急停
2024-06-08 09:26:52,321312,job模式,job[9]/Pset[8],[1/6],0.0051,130.6,130.6,0.480,拧紧不合格,系统急停
2024-06-08 09:26:53,321312,job模式,job[9]/Pset[8],[1/6],0.0054,129.3,129.3,0.480,拧紧不合格,系统急停
2024-06-08 09:26:54,321312,job模式,job[9]/Pset[8],[1/6],0.0048,123.1,123.2,0.430,拧紧不合格,系统急停
2024-06-08 09:26:54,321312,job模式,job[9]/Pset[8],[1/6],0.0039,121.2,121.2,0.405,拧紧不合格,系统急停
2024-06-08 09:26:55,321312,job模式,job[9]/Pset[8],[1/6],0.0043,118.7,118.8,0.380,拧紧不合格,系统急停
2024-06-08 09:26:56,321312,job模式,job[9]/Pset[8],[1/6],0.0060,118.2,118.3,0.380,拧紧不合格,系统急停
2024-06-08 09:26:56,321312,job模式,job[9]/Pset[8],[1/6],0.0055,120.2,120.2,0.380,拧紧不合格,系统急停
2024-06-08 09:26:57,321312,job模式,job[9]/Pset[8],[1/6],0.0063,114.9,114.9,0.155,拧紧不合格,系统急停
2024-06-08 09:26:57,321312,job模式,job[9]/Pset[8],[1/6],0.0059,115.3,115.3,0.155,拧紧不合格,系统急停
2024-06-08 09:26:57,321312,job模式,job[9]/Pset[8],[1/6],0.0044,77.0,77.2,0.111,拧紧不合格,系统急停
2024-06-08 09:26:58,321312,job模式,job[9]/Pset[8],[1/6],0.0043,115.2,115.2,0.155,拧紧不合格,系统急停
2024-06-08 09:26:58,321312,job模式,job[9]/Pset[8],[1/6],0.0041,112.5,112.5,0.135,拧紧不合格,系统急停
2024-06-08 09:26:58,321312,job模式,job[9]/Pset[8],[1/6],0.0030,76.2,76.5,0.111,拧紧不合格,系统急停
2024-06-08 09:26:59,321312,job模式,job[9]/Pset[8],[1/6],0.0052,117.5,117.5,0.157,拧紧不合格,系统急停
2024-06-08 09:27:00,321312,job模式,job[9]/Pset[8],[1/6],0.0037,105.3,105.3,0.130,拧紧不合格,系统急停
2024-06-08 09:27:00,321312,job模式,job[9]/Pset[8],[1/6],0.0041,77.6,77.4,0.111,拧紧不合格,系统急停
2024-06-08 09:27:01,321312,job模式,job[9]/Pset[8],[1/6],0.0038,50.0,49.9,0.090,拧紧不合格,系统急停
2024-06-08 09:27:01,321312,job模式,job[9]/Pset[8],[1/6],0.0037,80.6,80.6,0.111,拧紧不合格,系统急停
2024-06-08 09:27:01,321312,job模式,job[9]/Pset[8],[1/6],0.0038,106.1,106.1,0.130,拧紧不合格,系统急停
2024-06-08 09:27:02,321312,job模式,job[9]/Pset[8],[1/6],0.0052,119.1,119.0,0.180,拧紧不合格,系统急停
2024-06-08 09:27:03,321312,job模式,job[9]/Pset[8],[1/6],0.0055,117.5,117.5,0.155,拧紧不合格,系统急停
2024-06-08 09:27:03,321312,job模式,job[9]/Pset[8],[1/6],0.0036,78.3,78.2,0.111,拧紧不合格,系统急停
2024-06-08 09:27:03,321312,job模式,job[9]/Pset[8],[1/6],0.0046,92.8,92.8,0.120,拧紧不合格,系统急停
2024-06-08 09:27:04,321312,job模式,job[9]/Pset[8],[1/6],0.0060,117.9,118.1,0.155,拧紧不合格,系统急停
2024-06-08 09:27:04,321312,job模式,job[9]/Pset[8],[1/6],0.0059,117.0,117.1,0.155,拧紧不合格,系统急停
2024-06-08 09:27:05,321312,job模式,job[9]/Pset[8],[1/6],0.0058,117.5,117.5,0.180,拧紧不合格,系统急停
2024-06-08 09:27:05,321312,job模式,job[9]/Pset[8],[1/6],0.0045,106.4,106.5,0.130,拧紧不合格,系统急停
2024-06-08 09:27:05,321312,job模式,job[9]/Pset[8],[1/6],0.0047,118.2,118.1,0.141,拧紧不合格,系统急停
2024-06-08 09:27:06,321312,job模式,job[9]/Pset[8],[1/6],0.0035,106.3,106.5,0.130,拧紧不合格,系统急停
2024-06-08 09:27:06,321312,job模式,job[9]/Pset[8],[1/6],0.0048,117.6,117.7,0.180,拧紧不合格,系统急停
2024-06-08 09:27:07,321312,job模式,job[9]/Pset[8],[1/6],0.0071,117.5,117.5,0.155,拧紧不合格,系统急停
2024-06-08 09:27:07,321312,job模式,job[9]/Pset[8],[1/6],0.0036,83.9,83.9,0.115,拧紧不合格,系统急停
2024-06-08 09:27:08,321312,job模式,job[9]/Pset[8],[1/6],0.0038,76.8,76.9,0.111,拧紧不合格,系统急停
2024-06-08 09:27:08,321312,job模式,job[9]/Pset[8],[1/6],0.0052,117.3,117.2,0.180,拧紧不合格,系统急停
2024-06-08 09:27:08,321312,job模式,job[9]/Pset[8],[1/6],0.0038,106.8,106.8,0.130,拧紧不合格,系统急停
2024-06-08 09:27:09,321312,job模式,job[9]/Pset[8],[1/6],0.0037,106.6,106.6,0.130,拧紧不合格,系统急停
2024-06-08 09:27:09,321312,job模式,job[9]/Pset[8],[1/6],0.0065,117.7,117.7,0.157,拧紧不合格,系统急停
2024-06-08 09:27:10,321312,job模式,job[9]/Pset[8],[1/6],0.0057,117.9,118.0,0.155,拧紧不合格,系统急停
2024-06-08 09:27:10,321312,job模式,job[9]/Pset[8],[1/6],0.0063,117.1,117.2,0.155,拧紧不合格,系统急停
2024-06-08 09:27:11,321312,job模式,job[9]/Pset[8],[1/6],0.0043,174.2,174.2,0.755,拧紧不合格,系统急停
2024-06-08 09:27:12,321312,job模式,job[9]/Pset[8],[1/6],0.0060,171.3,171.3,0.730,拧紧不合格,系统急停
2024-06-08 09:27:13,321312,job模式,job[9]/Pset[8],[1/6],0.0062,191.0,190.9,0.880,拧紧不合格,系统急停
2024-06-08 09:27:15,321312,job模式,job[9]/Pset[8],[1/6],0.0052,212.7,212.8,1.055,拧紧不合格,系统急停
2024-06-08 09:27:16,321312,job模式,job[9]/Pset[8],[1/6],0.0052,215.0,215.0,1.055,拧紧不合格,系统急停
