时间,SN,工作模式,模式序号,执行顺序进度,最终扭矩,最终角度,监控角度,执行时间,拧紧结果状态,NG结果
2024-06-12 17:02:59,11111,job模式,job[9]/Pset[8],[4/5],0.0200,186.1,186.9,1.559,拧紧合格,拧紧合格
2024-06-12 17:03:01,11111,job模式,job[9]/Pset[8],[5/5],0.0203,140.9,141.0,1.174,拧紧合格,拧紧合格
2024-06-12 17:12:49,1,job模式,job[9]/Pset[8],[2/5],0.0205,145.2,145.5,1.244,拧紧合格,拧紧合格
2024-06-12 17:12:51,1,job模式,job[9]/Pset[8],[3/5],0.0204,144.2,144.5,1.202,拧紧合格,拧紧合格
2024-06-12 17:13:05,1,job模式,job[9]/Pset[8],[4/5],0.0199,123.5,123.7,1.019,拧紧合格,拧紧合格
2024-06-12 17:13:14,1,job模式,job[9]/Pset[8],[5/5],0.0201,119.9,120.1,0.952,拧紧合格,拧紧合格
2024-06-12 17:15:02,9,job模式,job[9]/Pset[8],[5/5],0.0204,116.5,116.8,0.938,拧紧合格,拧紧合格
2024-06-12 17:15:15,9,job模式,job[9]/Pset[8],[1/5],0.0209,105.4,106.1,0.899,拧紧合格,拧紧合格
2024-06-12 17:15:16,9,job模式,job[9]/Pset[8],[2/5],0.0062,119.6,119.6,0.140,拧紧不合格,系统急停
2024-06-12 17:15:31,9,job模式,job[9]/Pset[8],[1/5],0.0203,141.4,144.2,1.195,拧紧合格,拧紧合格
2024-06-12 17:15:33,9,job模式,job[9]/Pset[8],[2/5],0.0200,137.1,137.3,1.154,拧紧合格,拧紧合格
2024-06-12 17:15:35,9,job模式,job[9]/Pset[8],[3/5],0.0202,138.3,138.8,1.137,拧紧合格,拧紧合格
2024-06-12 17:15:37,9,job模式,job[9]/Pset[8],[4/5],0.0200,130.4,130.1,1.074,拧紧合格,拧紧合格
2024-06-12 17:15:39,9,job模式,job[9]/Pset[8],[5/5],0.0210,99.0,99.6,0.750,拧紧合格,拧紧合格
2024-06-12 17:15:48,9,job模式,job[9]/Pset[8],[1/5],0.0202,116.7,117.1,0.943,拧紧合格,拧紧合格
2024-06-12 17:15:49,9,job模式,job[9]/Pset[8],[2/5],0.0054,120.3,120.3,0.185,拧紧不合格,系统急停
