时间,SN,工作模式,模式序号,执行顺序进度,最终扭矩,最终角度,监控角度,执行时间,拧紧结果状态,NG结果
2024-06-07 14:43:03,4,job模式,job[9]/Pset[8],[4/5],0.0202,282.7,283.6,2.397,拧紧合格,拧紧合格
2024-06-07 14:43:18,4,job模式,job[9]/Pset[8],[5/5],0.0054,1498.8,1499.0,11.790,拧紧不合格,系统急停
2024-06-07 14:43:23,4,job模式,job[9]/Pset[8],[5/5],0.0063,152.7,152.7,0.555,拧紧不合格,系统急停
2024-06-07 14:43:59,9,job模式,job[9]/Pset[8],[5/5],0.0053,2621.7,2621.7,21.151,拧紧不合格,系统急停
2024-06-07 14:45:17,9,job模式,job[9]/Pset[8],[5/5],0.0062,1155.4,1155.4,8.915,拧紧不合格,系统急停
2024-06-07 14:53:21,0,job模式,job[9]/Pset[8],[5/5],0.0064,985.5,985.6,7.500,拧紧不合格,系统急停
2024-06-07 14:53:35,1,job模式,job[9]/Pset[8],[5/5],0.0208,263.0,264.1,2.254,拧紧合格,拧紧合格
2024-06-07 14:53:44,1,job模式,job[9]/Pset[8],[1/5],0.0201,225.3,226.2,1.852,拧紧合格,拧紧合格
2024-06-07 14:53:48,1,job模式,job[9]/Pset[8],[2/5],0.0202,304.8,306.4,2.645,拧紧合格,拧紧合格
2024-06-07 14:53:52,1,job模式,job[9]/Pset[8],[3/5],0.0199,224.2,225.4,1.990,拧紧合格,拧紧合格
2024-06-07 14:53:55,1,job模式,job[9]/Pset[8],[4/5],0.0060,242.9,243.0,1.316,拧紧不合格,系统急停
2024-06-07 14:53:58,1,job模式,job[9]/Pset[8],[4/5],0.0207,122.2,127.8,0.988,拧紧不合格,浮高
2024-06-07 16:47:37,3,job模式,job[9]/Pset[8],[5/5],0.0059,127.7,127.7,0.320,拧紧不合格,系统急停
2024-06-07 16:47:39,3,job模式,job[9]/Pset[8],[5/5],0.0049,120.9,120.8,0.210,拧紧不合格,系统急停
2024-06-07 16:47:40,3,job模式,job[9]/Pset[8],[5/5],0.0062,121.5,121.6,0.205,拧紧不合格,系统急停
2024-06-07 16:47:43,3,job模式,job[9]/Pset[8],[5/5],0.0055,263.7,263.7,1.465,拧紧不合格,系统急停
2024-06-07 16:47:46,3,job模式,job[9]/Pset[8],[5/5],0.0067,274.6,274.6,1.535,拧紧不合格,系统急停
2024-06-07 16:47:47,3,job模式,job[9]/Pset[8],[5/5],0.0056,225.6,225.7,1.150,拧紧不合格,系统急停
2024-06-07 16:47:53,3,job模式,job[9]/Pset[8],[5/5],0.0051,253.0,253.0,1.375,拧紧不合格,系统急停
2024-06-07 16:47:55,3,job模式,job[9]/Pset[8],[5/5],0.0053,195.2,195.2,0.876,拧紧不合格,系统急停
2024-06-07 16:49:15,3,job模式,job[9]/Pset[8],[5/5],0.0063,222.4,222.4,1.130,拧紧不合格,系统急停
2024-06-07 16:49:17,3,job模式,job[9]/Pset[8],[5/5],0.0069,228.4,228.3,1.170,拧紧不合格,系统急停
2024-06-07 16:49:18,3,job模式,job[9]/Pset[8],[5/5],0.0071,221.9,221.9,1.105,拧紧不合格,系统急停
2024-06-07 16:49:20,3,job模式,job[9]/Pset[8],[5/5],0.0065,291.6,291.7,1.690,拧紧不合格,系统急停
2024-06-07 16:49:22,3,job模式,job[9]/Pset[8],[5/5],0.0052,270.3,270.3,1.510,拧紧不合格,系统急停
2024-06-07 16:49:24,3,job模式,job[9]/Pset[8],[5/5],0.0050,214.0,214.0,1.045,拧紧不合格,系统急停
2024-06-07 16:49:24,3,job模式,job[9]/Pset[8],[5/5],0.0042,40.0,40.0,0.081,拧紧不合格,系统急停
2024-06-07 16:49:24,3,job模式,job[9]/Pset[8],[5/5],0.0041,0.0,0.0,0.025,拧紧不合格,系统急停
2024-06-07 16:49:25,3,job模式,job[9]/Pset[8],[5/5],0.0038,115.5,115.5,0.135,拧紧不合格,系统急停
2024-06-07 16:49:25,3,job模式,job[9]/Pset[8],[5/5],0.0037,72.6,72.5,0.105,拧紧不合格,系统急停
2024-06-07 16:49:25,3,job模式,job[9]/Pset[8],[5/5],0.0036,57.5,57.5,0.095,拧紧不合格,系统急停
2024-06-07 16:49:25,3,job模式,job[9]/Pset[8],[5/5],0.0048,19.9,20.1,0.065,拧紧不合格,系统急停
2024-06-07 16:49:25,3,job模式,job[9]/Pset[8],[5/5],0.0040,2.8,2.8,0.040,拧紧不合格,系统急停
