Device,Time:,SN:,R:,G:,B:,IR:,ID:,RES:
A-2000,2024-5-8 13:44,'24324354,200,512,321,33,1,OK
A-2000,2024-5-8 13:44,'8758789578,200,512,321,33,1,OK
A-2000,2024-5-8 13:44,'87554738579,200,512,321,32,1,OK
A-2000,2024-5-8 13:44,'8589759,200,512,322,33,1,OK
A-2000,2024-5-8 13:44,'9879870789,200,512,322,33,1,OK
