2024-08-12 13:27:52:121  加载NTC温度阻值表成功: C:\Users\Administrator\Desktop\上位机\Project\BL12上位机\WinformBL12上位机\BL12\bin\Debug\TempResistance\NTC.xlsx
2024-08-12 13:27:52:230  服务器开启成功:127.0.0.1:7600
2024-08-12 13:27:53:060  断开COM14成功
2024-08-12 13:27:53:903  成功关闭服务器:
2024-08-12 13:28:53:771  *******配置参数加载成功*******
2024-08-12 13:28:54:914  加载NTC温度阻值表成功: C:\Users\Administrator\Desktop\上位机\Project\BL12上位机\WinformBL12上位机\BL12\bin\Debug\TempResistance\NTC.xlsx
2024-08-12 13:28:54:958  服务器开启成功:127.0.0.1:7600
2024-08-12 13:28:58:579  成功关闭服务器:
2024-08-12 13:29:00:017  *******配置参数加载成功*******
2024-08-12 13:29:00:031  连接COM14成功
2024-08-12 13:29:00:068  加载NTC温度阻值表成功: C:\Users\Administrator\Desktop\上位机\Project\BL12上位机\WinformBL12上位机\BL12\bin\Debug\TempResistance\NTC.xlsx
2024-08-12 13:29:00:181  服务器开启成功:127.0.0.1:7600
2024-08-12 13:29:19:332  *******配置参数加载成功*******
2024-08-12 13:29:19:342  连接COM14成功
2024-08-12 13:29:19:379  加载NTC温度阻值表成功: C:\Users\Administrator\Desktop\上位机\Project\BL12上位机\WinformBL12上位机\BL12\bin\Debug\TempResistance\NTC.xlsx
2024-08-12 13:30:06:461  *******配置参数加载成功*******
2024-08-12 13:30:06:474  连接COM14成功
2024-08-12 13:30:06:517  加载NTC温度阻值表成功: C:\Users\Administrator\Desktop\上位机\Project\BL12上位机\WinformBL12上位机\BL12\bin\Debug\TempResistance\NTC.xlsx
2024-08-12 13:30:06:627  服务器开启成功:127.0.0.1:7600
2024-08-12 13:30:08:326  开背光中
2024-08-12 13:30:11:820  未检测到背光异常
2024-08-12 13:30:14:628  开背光中
2024-08-12 13:30:17:131  未检测到背光异常
2024-08-12 13:30:26:424  开背光中
2024-08-12 13:30:55:413  未检测到背光异常
2024-08-12 13:30:59:849  开背光中
2024-08-12 13:31:05:384  未检测到背光异常
2024-08-12 13:31:15:191  开背光中
2024-08-12 13:33:02:539  *******配置参数加载成功*******
2024-08-12 13:33:02:554  连接COM14成功
2024-08-12 13:33:02:591  加载NTC温度阻值表成功: C:\Users\Administrator\Desktop\上位机\Project\BL12上位机\WinformBL12上位机\BL12\bin\Debug\TempResistance\NTC.xlsx
2024-08-12 13:33:02:709  服务器开启成功:127.0.0.1:7600
2024-08-12 13:33:04:667  开背光中
2024-08-12 13:35:36:941  成功关闭服务器:
2024-08-12 13:39:30:938  *******配置参数加载成功*******
2024-08-12 13:39:30:991  连接COM14成功
2024-08-12 13:39:31:041  加载NTC温度阻值表成功: C:\Users\Administrator\Desktop\上位机\Project\BL12上位机\WinformBL12上位机\BL12\bin\Debug\TempResistance\NTC.xlsx
2024-08-12 13:39:31:165  服务器开启成功:127.0.0.1:7600
2024-08-12 13:39:38:493  请解锁在操作栏中进行解锁,或者点击快捷键F6
2024-08-12 13:39:57:078  成功关闭服务器:
2024-08-12 14:37:43:334  *******配置参数加载成功*******
2024-08-12 14:37:43:346  连接COM14成功
2024-08-12 14:37:43:384  加载NTC温度阻值表成功: C:\Users\Administrator\Desktop\上位机\Project\BL12上位机\WinformBL12上位机\BL12\bin\Debug\TempResistance\NTC.xlsx
2024-08-12 14:37:43:506  服务器开启成功:127.0.0.1:7600
2024-08-12 14:39:54:107  *******配置参数加载成功*******
2024-08-12 14:39:54:117  连接COM14成功
2024-08-12 14:39:54:154  加载NTC温度阻值表成功: C:\Users\Administrator\Desktop\上位机\Project\BL12上位机\WinformBL12上位机\BL12\bin\Debug\TempResistance\NTC.xlsx
2024-08-12 14:39:54:261  服务器开启成功:127.0.0.1:7600
2024-08-12 14:40:22:296  NTC温度超出限定范围,当前NTC温度为: -11.92°.请联系管理员进行解锁快捷键F6
2024-08-12 14:40:25:649  NTC温度超出限定范围,当前NTC温度为: -21.64°.请联系管理员进行解锁快捷键F6
2024-08-12 14:40:57:142  NTC温度超出限定范围,当前NTC温度为: -10.87°.请联系管理员进行解锁快捷键F6
2024-08-12 14:40:58:258  NTC温度超出限定范围,当前NTC温度为: -10.87°.请联系管理员进行解锁快捷键F6
2024-08-12 14:40:59:367  NTC温度超出限定范围,当前NTC温度为: -10.87°.请联系管理员进行解锁快捷键F6
2024-08-12 14:41:00:471  NTC温度超出限定范围,当前NTC温度为: -10.87°.请联系管理员进行解锁快捷键F6
2024-08-12 14:41:01:579  NTC温度超出限定范围,当前NTC温度为: -10.87°.请联系管理员进行解锁快捷键F6
2024-08-12 14:41:02:687  NTC温度超出限定范围,当前NTC温度为: -10.87°.请联系管理员进行解锁快捷键F6
2024-08-12 14:41:03:795  NTC温度超出限定范围,当前NTC温度为: -10.87°.请联系管理员进行解锁快捷键F6
2024-08-12 14:41:17:116  成功关闭服务器:
2024-08-12 15:13:21:778  *******配置参数加载成功*******
2024-08-12 15:13:21:791  连接COM14成功
2024-08-12 15:13:21:833  加载NTC温度阻值表成功: C:\Users\Administrator\Desktop\上位机\Project\BL12上位机\WinformBL12上位机\BL12\bin\Debug\TempResistance\NTC.xlsx
2024-08-12 15:13:21:945  服务器开启成功:127.0.0.1:7600
2024-08-12 15:13:26:428  选择配置文件:C:\Users\Administrator\Desktop\上位机\Project\BL12上位机\WinformBL12上位机\BL12\bin\Debug\Config\CCCCCCCCCCC.ini
2024-08-12 15:13:26:431  配置文件参数正在写入中........................
2024-08-12 15:13:27:871  配置文件参数写入成功
2024-08-12 15:13:53:028  开背光中
2024-08-12 15:14:16:673  开背光中
2024-08-12 15:16:56:286  NTC温度超出限定范围,当前NTC温度为: -20.47°.请联系管理员进行解锁快捷键F6
2024-08-12 15:17:32:883  NTC温度超出限定范围,当前NTC温度为: -10.55°.请联系管理员进行解锁快捷键F6
2024-08-12 15:18:22:926  NTC温度超出限定范围,当前NTC温度为: -33.02°.请联系管理员进行解锁快捷键F6
2024-08-12 15:18:55:977  NTC温度超出限定范围,当前NTC温度为: -12.74°.请联系管理员进行解锁快捷键F6
2024-08-12 15:20:34:897  成功关闭服务器:
2024-08-12 15:20:54:454  *******配置参数加载成功*******
2024-08-12 15:20:54:464  连接COM14成功
2024-08-12 15:20:54:501  加载NTC温度阻值表成功: C:\Users\Administrator\Desktop\上位机\Project\BL12上位机\WinformBL12上位机\BL12\bin\Debug\TempResistance\NTC.xlsx
2024-08-12 15:20:54:610  服务器开启成功:127.0.0.1:7600
2024-08-12 15:21:02:480  成功关闭服务器:
2024-08-12 15:23:15:919  *******配置参数加载成功*******
2024-08-12 15:23:15:923  连接COM14成功
2024-08-12 15:23:15:955  加载NTC温度阻值表成功: C:\Users\Administrator\Desktop\上位机\Project\BL12上位机\WinformBL12上位机\BL12\bin\Debug\TempResistance\NTC.xlsx
2024-08-12 15:23:16:051  服务器开启成功:127.0.0.1:7600
2024-08-12 15:23:56:023  请解锁在操作栏中进行解锁,或者点击快捷键F7
2024-08-12 15:24:04:122  成功关闭服务器:
2024-08-12 15:24:27:771  *******配置参数加载成功*******
2024-08-12 15:24:27:775  连接COM14成功
2024-08-12 15:24:27:807  加载NTC温度阻值表成功: C:\Users\Administrator\Desktop\上位机\Project\BL12上位机\WinformBL12上位机\BL12\bin\Debug\TempResistance\NTC.xlsx
2024-08-12 15:24:27:909  服务器开启成功:127.0.0.1:7600
2024-08-12 15:24:30:012  请解锁在操作栏中进行解锁,或者点击快捷键F6
2024-08-12 15:39:19:703  成功关闭服务器:
2024-08-12 16:00:52:218  *******配置参数加载成功*******
2024-08-12 16:00:52:226  连接COM14成功
2024-08-12 16:00:52:277  加载NTC温度阻值表成功: C:\Users\Administrator\Desktop\上位机\Project\BL12上位机\WinformBL12上位机\BL12\bin\Debug\TempResistance\NTC.xlsx
2024-08-12 16:00:52:444  服务器开启成功:127.0.0.1:7600
2024-08-12 16:00:56:358  成功关闭服务器:
2024-08-12 17:25:56:699  *******配置参数加载成功*******
2024-08-12 17:25:56:714  连接COM14成功
2024-08-12 17:25:56:785  加载NTC温度阻值表成功: C:\Users\Administrator\Desktop\上位机\Project\BL12上位机\WinformBL12上位机\BL12\bin\Debug\TempResistance\NTC.xlsx
2024-08-12 17:25:57:009  服务器开启成功:127.0.0.1:7600
2024-08-12 17:26:03:397  未连接MCMQ服务器与队列发送与队列查询
2024-08-12 17:26:16:107  成功关闭服务器:
